Player,College,Year,Pick,Rnd,DrAge,AP1,PB,St,wAV,G,GS,Rk,Age,AV,Height,Wt,X40YD,Vertical,BenchReps,Broad.Jump,X3Cone,Shuttle,CareerLength,SEC,BIG10,BIG12,PAC12,ACC,Pos,Position,Team,From,To,AA,QB,Skill,OL,DL,LB,DB,K
Aaron Schobel,TCU,2001,46,2,24,0,2,8,62,133,128,51,23,73,6.4,263,4.75,38,NA,119,7.16,4.03,9,0,0,1,0,0,DE,10,BUF,2001,2009,0,0,0,0,1,0,0,0
Alex Sulfsted,Miami (OH),2001,176,6,23,0,0,0,2,18,3,33,23,2,6.4,312,5.3,30.5,NA,96,NA,NA,3,0,0,0,0,0,T,8,KAN,2002,2004,0,0,0,1,0,0,0,0
Alge Crumpler,North Carolina,2001,35,2,23,0,4,10,41,155,132,178,23,48,6.2,266,4.76,34,22,112,7.38,4.43,10,0,0,0,0,1,TE,4,ATL,2001,2010,0,0,1,0,0,0,0,0
Andre Carter,California,2001,7,1,22,0,1,10,59,184,147,192,21,75,6.4,249,4.84,38.5,20,132,NA,4.24,13,0,0,0,1,0,DE,10,SFO,2001,2013,0,0,0,0,1,0,0,0
Andre Dyson,Utah,2001,60,2,22,0,0,5,31,96,80,169,21,35,5.1,179,4.4,NA,NA,119,NA,NA,7,0,0,0,1,0,DB,12,TEN,2001,2007,0,0,0,0,0,0,1,0
Anthony Denman,Notre Dame,2001,213,7,21,0,0,0,2,27,0,175,21,2,6.1,239,4.76,NA,NA,NA,NA,NA,2,0,0,0,0,0,LB,11,JAX,2001,2002,0,0,0,0,0,1,0,0
Anthony Henry,South Florida,2001,97,4,24,0,0,5,38,132,96,140,24,46,6.1,198,4.6,41,15,126,6.9,4.2,9,0,0,0,0,0,DB,12,CLE,2001,2009,0,0,0,0,0,0,1,0
Anthony Thomas,Michigan,2001,38,2,23,0,0,3,27,87,43,28,23,29,6.2,229,4.58,32.5,20,115,7.48,4.44,7,0,1,0,0,0,RB,2,CHI,2001,2007,0,0,1,0,0,0,0,0
Ben Hamilton,Minnesota,2001,113,4,24,0,0,7,54,118,110,149,23,63,6.5,303,5.26,33.5,17,106,7.62,4.62,9,0,1,0,0,0,G,7,DEN,2002,2010,0,0,0,1,0,0,0,0
Bernard Robertson,Tulane,2001,138,5,22,0,0,0,3,16,5,58,21,3,6.3,308,5.24,30,19,106,8.06,4.58,1,0,0,0,0,0,T,8,CHI,2002,2002,0,0,0,1,0,0,0,0
Bhawoh Jue,Penn St.,2001,71,3,22,0,0,1,14,79,27,117,21,15,6.1,199,4.54,34.5,NA,113,7.21,4.27,7,0,1,0,0,0,DB,12,GNB,2001,2007,0,0,0,0,0,0,1,0
Bill Ferrario,Wisconsin,2001,105,4,22,0,0,0,1,16,0,163,22,1,6.2,314,5.3,NA,17,NA,NA,NA,1,0,1,0,0,0,G,7,GNB,2002,2002,0,0,0,1,0,0,0,0
Brandon Spoon,North Carolina,2001,110,4,23,0,0,1,5,14,14,40,22,5,6.2,245,4.75,35.5,33,110,7.3,4.15,1,0,0,0,0,1,LB,11,BUF,2001,2001,0,0,0,0,0,1,0,0
Brandon Winey,LSU,2001,164,6,23,0,0,0,3,24,3,4,23,3,6.6,301,5.3,NA,NA,NA,NA,NA,2,1,0,0,0,0,T,8,MIA,2003,2004,0,0,0,1,0,0,0,0
